title,category,tags,content,source_url
Spring Crops,Farming,"spring crops parsnip potato cauliflower strawberry","Spring farming works best when the player balances quick profit crops with longer growth crops. Parsnips are cheap and fast, potatoes can produce extra yield, cauliflower takes longer but sells for more, and strawberries are a strong spring crop if bought during the Egg Festival. A beginner plan is to plant cheap crops early, save money for strawberries, and keep some harvests for quests or gifts.","https://stardewvalleywiki.com/Crops"
Summer Crops,Farming,"summer crops blueberry melon starfruit hops corn","Summer gives the player stronger money options than spring. Blueberries are reliable because they regrow and produce multiple berries, melons are useful for bundles and large crop attempts, hops can become Pale Ale, and Starfruit is a high-value Desert crop. Good summer planning depends on whether the player wants steady income or artisan processing later.","https://stardewvalleywiki.com/Crops"
Fall Crops,Farming,"fall crops cranberry pumpkin yam eggplant fairy rose","Fall has several strong crops. Cranberries are reliable regrowing profit crops, pumpkins are valuable and useful for gifts and bundles, and yams or eggplants help with collection goals. Fall is also a good season to prepare for winter by earning money, gathering resources, and upgrading tools.","https://stardewvalleywiki.com/Crops"
Ancient Fruit,Farming,"ancient fruit seed greenhouse wine profit keg","Ancient Fruit is a high-value crop that regrows after the first harvest. It becomes especially strong in the Greenhouse because it can produce continuously without seasonal limits. Many players process Ancient Fruit into wine using kegs for higher profit. It is a long-term investment rather than a quick early-game crop.","https://stardewvalleywiki.com/Ancient_Fruit"
Greenhouse,Location,"greenhouse farming bundles ancient fruit starfruit year round","The Greenhouse allows crops to grow in any season once repaired. It is one of the most important farming upgrades because high-value crops can be grown year round. Ancient Fruit and Starfruit are common long-term choices. The Greenhouse is usually unlocked through completing the Pantry bundles or through the Joja route.","https://stardewvalleywiki.com/Greenhouse"
Watering Can,Tool,"tools watering can upgrade copper steel gold iridium","The watering can is used to water crops every morning. Tool upgrades make watering larger areas easier, but the tool is unavailable while Clint upgrades it. A good time to upgrade is before a rainy day or near the end of a season, because crops do not need watering during rain and most seasonal crops die when the next season begins.","https://stardewvalleywiki.com/Watering_Cans"
Hoe,Tool,"hoe tool till soil artifact spots upgrade","The hoe tills soil for crops and can dig artifact spots. Upgrades increase the charged area, which helps when preparing large fields. It is usually less urgent than the watering can or pickaxe early on, but it becomes useful when the farm grows or when searching for artifacts.","https://stardewvalleywiki.com/Hoes"
Pickaxe,Tool,"pickaxe mining rocks ore upgrade copper iron gold","The pickaxe breaks stones, ore nodes, and mine obstacles. Upgrading it speeds up mining and reduces energy cost per rock. Early pickaxe upgrades help the player reach deeper mine levels faster and gather resources for sprinklers, machines, and tool upgrades.","https://stardewvalleywiki.com/Pickaxes"
Axe,Tool,"axe wood hardwood stumps logs secret woods upgrade","The axe cuts trees, stumps, and logs. Upgrades unlock larger obstacles and eventually access to hardwood sources such as large stumps. A steel axe can remove the log blocking the Secret Woods, which is useful for hardwood gathering and other late early-game goals.","https://stardewvalleywiki.com/Axes"
Sprinklers,Item,"sprinkler quality sprinkler iridium sprinkler farming automation","Sprinklers water nearby tiles automatically each morning. Basic sprinklers cover only four adjacent tiles, quality sprinklers cover eight surrounding tiles, and iridium sprinklers cover a much larger square. Sprinklers reduce daily energy use and free time for mining, fishing, relationships, or quests.","https://stardewvalleywiki.com/Sprinkler"
Kegs,Crafting,"keg artisan wine juice pale ale coffee profit","Kegs turn crops and other items into artisan goods such as wine, juice, pale ale, and coffee. They are important for profit scaling because processed goods often sell for more than raw crops. Kegs pair well with high-value crops and the Artisan profession. They require resources, so players usually build them gradually.","https://stardewvalleywiki.com/Keg"
Preserves Jar,Crafting,"preserves jar jelly pickles artisan profit","Preserves Jars turn fruit into jelly and vegetables into pickles. They process faster than kegs and are useful for lower-value crops where quick turnover matters. They are a good artisan option before the player has enough materials for many kegs.","https://stardewvalleywiki.com/Preserves_Jar"
Mayonnaise Machine,Crafting,"mayonnaise machine egg coop chicken artisan","The Mayonnaise Machine turns eggs into mayonnaise, increasing the value of coop products. It is one of the earliest artisan machines many players build after getting chickens. It supports a steady daily income loop with a coop.","https://stardewvalleywiki.com/Mayonnaise_Machine"
Community Center,Quest,"community center bundles junimos pantry crafts room fish tank","The Community Center is a major progression system built around completing bundles. Bundles ask for crops, fish, forage items, minerals, artisan goods, and other resources. Completing rooms unlocks rewards such as minecarts, greenhouse access, bridge repair, and other town improvements. It encourages the player to explore many systems instead of focusing on only one activity.","https://stardewvalleywiki.com/Community_Center"
Pantry Bundles,Quest,"pantry bundles greenhouse crops animal artisan quality crops","The Pantry bundles focus on farming, animal products, artisan goods, and quality crops. Completing the Pantry repairs the Greenhouse. Players who want year-round farming should prioritize seasonal crop requirements and avoid missing items that only grow in one season.","https://stardewvalleywiki.com/Bundles"
Fish Tank Bundles,Quest,"fish tank bundles fishing lake river ocean night specialty","Fish Tank bundles require fish from different locations, seasons, times, and weather conditions. The player should check each fish requirement before a season ends. Rainy-day fish and night fish are easy to miss if the player only fishes casually during the day.","https://stardewvalleywiki.com/Bundles"
Mine Levels,Location,"mines combat ore copper iron gold elevator monsters","The Mines are divided into floors with different resources and enemies. Copper appears early, iron appears deeper, and gold appears later. The elevator unlocks every five floors, which makes progress easier to resume. Players should bring food, watch energy and health, and use rainy days for mining because crops need less attention.","https://stardewvalleywiki.com/The_Mines"
Skull Cavern,Location,"skull cavern desert iridium bombs staircases luck","Skull Cavern is a late-game mine in the Desert with no elevator. It is useful for iridium ore, rare items, and high-risk combat. Good preparation includes bombs, healing food, staircases, a strong weapon, and going on a high luck day. The goal is usually to descend quickly rather than clear every floor.","https://stardewvalleywiki.com/Skull_Cavern"
The Desert,Location,"desert bus skull cavern oasis starfruit sandy","The Desert becomes accessible after the bus is repaired. It contains the Oasis shop, Sandy, Starfruit seeds, and Skull Cavern. Unlocking the Desert expands farming profit options and opens late-game mining goals. Players usually reach it through the Vault bundles or the Joja route.","https://stardewvalleywiki.com/Calico_Desert"
Secret Woods,Location,"secret woods hardwood slimes steel axe old master cannoli","The Secret Woods is blocked by a large log that requires a steel axe to remove. It contains hardwood stumps, slimes, forage, and the Old Master Cannoli statue. It is useful when the player needs reliable hardwood for buildings, crafting, and later upgrades.","https://stardewvalleywiki.com/Secret_Woods"
Fishing Basics,Fishing,"fishing rod fish minigame bait tackle treasure","Fishing uses a minigame where the player keeps a green bar behind the fish icon. Early fishing is difficult because the starting bar is small. Leveling fishing, buying better rods, using bait, and eventually using tackle can make catches easier. Fish availability depends on season, weather, time, and location.","https://stardewvalleywiki.com/Fishing"
Largemouth Bass,Fishing,"largemouth bass mountain lake spring summer fall winter daytime","Largemouth Bass can be caught in the mountain lake during the day across multiple seasons. It is useful for bundles, quests, and cooking. If a player asks where to find it, the important clues are mountain lake, daytime, and checking season requirements before planning the trip.","https://stardewvalleywiki.com/Largemouth_Bass"
Catfish,Fishing,"catfish river rain spring fall secret woods hard fish","Catfish is a difficult fish that appears in rainy weather in specific seasons and locations such as rivers or the Secret Woods pond. Because it moves aggressively in the fishing minigame, a higher fishing level, better rod, and helpful tackle can make it easier.","https://stardewvalleywiki.com/Catfish"
Sturgeon,Fishing,"sturgeon mountain lake summer winter caviar fish pond","Sturgeon can be caught in the mountain lake during summer and winter. It is important because a Sturgeon fish pond can produce roe that becomes caviar in a preserves jar. Players working toward completion or artisan goals often save a Sturgeon for a pond.","https://stardewvalleywiki.com/Sturgeon"
Sebastian,Character,"sebastian gifts friendship schedule sashimi frozen tear obsidian","Sebastian is a villager who lives in the Carpenter's Shop basement. He likes darker, quiet themes and is often associated with computers, motorcycles, and late-night schedules. Strong gift options include loved items such as Frozen Tear, Obsidian, Pumpkin Soup, and Sashimi. Friendship improves through talking, gifts, and birthday gifts.","https://stardewvalleywiki.com/Sebastian"
Abigail,Character,"abigail gifts friendship amethyst pumpkin pufferfish chocolate cake","Abigail is a villager connected with adventure, music, and the mines. She loves gifts such as Amethyst, Pumpkin, Pufferfish, Spicy Eel, and Chocolate Cake. If the user wants to raise friendship quickly, birthday gifting and giving loved items twice per week are the most efficient methods.","https://stardewvalleywiki.com/Abigail"
Leah,Character,"leah gifts friendship salad goat cheese wine truffle art","Leah is an artist who lives in a cottage south of the farm. Loved gifts include Salad, Goat Cheese, Wine, Truffle, and other items tied to food and artisan goods. She is a good friendship target for players who like foraging, cooking, and a nature-focused play style.","https://stardewvalleywiki.com/Leah"
Shane,Character,"shane gifts friendship beer pizza hot pepper pepper poppers","Shane works at JojaMart early in the game and has a personal story about depression and recovery. Loved gifts include Beer, Pizza, Hot Pepper, and Pepper Poppers. Because some loved gifts are easy to buy, players can raise friendship with Shane quickly if they have enough money.","https://stardewvalleywiki.com/Shane"
Robin,Character,"robin carpenter buildings house upgrade gifts spaghetti goat cheese","Robin is the town carpenter and sells farm buildings, house upgrades, and some furniture. Players visit her for coops, barns, silos, and construction projects. Building placement, resource cost, and upgrade order are important farm planning decisions tied to Robin's shop.","https://stardewvalleywiki.com/Robin"
Clint,Character,"clint blacksmith geodes tool upgrades ores coal","Clint runs the Blacksmith. He upgrades tools, cracks open geodes, and sells ore and coal. Tool upgrades take time, so players should plan around weather, season endings, and daily routines before handing over an important tool.","https://stardewvalleywiki.com/Clint"
Sandy,Character,"sandy desert oasis starfruit cactus flower gifts","Sandy runs the Oasis shop in the Desert. She sells Starfruit seeds and other goods after the bus is repaired. Unlocking access to Sandy can change the player's farming economy because Starfruit becomes available as a high-value summer and greenhouse crop.","https://stardewvalleywiki.com/Sandy"
Iridium Ore,Item,"iridium ore skull cavern tools sprinklers geodes","Iridium Ore is a late-game resource used for iridium tools, sprinklers, and other important upgrades. Skull Cavern is one of the main sources. Good preparation with bombs, food, staircases, and luck increases the chance of gathering more iridium in a single run.","https://stardewvalleywiki.com/Iridium_Ore"
Prismatic Shard,Item,"prismatic shard galaxy sword rare mineral skull cavern","Prismatic Shard is a rare mineral with several important uses. It can unlock the Galaxy Sword in the Desert and is also used for later-game goals. Players usually find it through mining, Skull Cavern, Omni Geodes, or rare monster drops.","https://stardewvalleywiki.com/Prismatic_Shard"
Battery Pack,Item,"battery pack lightning rod crafting iridium sprinkler summer storm","Battery Packs are produced by Lightning Rods after storms and are used in crafting and quests. They are important for items such as Iridium Sprinklers. Players should place Lightning Rods before stormy seasons to build up a supply.","https://stardewvalleywiki.com/Battery_Pack"
Hardwood,Item,"hardwood secret woods stumps mahogany stable house upgrade","Hardwood is used for buildings, crafting, house upgrades, and special goals. The Secret Woods gives a steady daily source once the player has a steel axe. Mahogany trees can also produce hardwood when the player has access to mahogany seeds.","https://stardewvalleywiki.com/Hardwood"
Coffee,Item,"coffee speed triple shot espresso beans keg","Coffee gives a speed boost and can be made from coffee beans using kegs. Speed is useful for farming, mining, fishing routes, and general daily efficiency. Triple Shot Espresso gives a longer speed boost and is useful for Skull Cavern runs.","https://stardewvalleywiki.com/Coffee"
Early Game Money,Strategy,"beginner money spring fishing mining crops profit","A balanced early-game money plan uses crops for steady income, fishing for daily cash, and mining for tool upgrades and sprinklers. Players should avoid spending all money before buying seeds, save some energy for fishing or mining, and prioritize upgrades that reduce repetitive work. The best plan depends on whether the player enjoys farming, fishing, mining, or social play.","https://stardewvalleywiki.com/Beginner%27s_Guide"
Gift Strategy,Strategy,"gifts friendship birthday loved liked hated villagers","Friendship rises fastest when the player gives loved gifts, especially on birthdays. Each villager has loved, liked, neutral, disliked, and hated gifts. A safe strategy is to learn a few reliable gifts for each target villager and avoid random gifts that may be hated. Talking daily also helps, though gifts matter more.","https://stardewvalleywiki.com/Friendship"
